"subjects"	"cluster.id"
"1"	"subject1"	5
"2"	"subject2"	3
"3"	"subject3"	4
"4"	"subject4"	3
"5"	"subject5"	3
"6"	"subject6"	4
"7"	"subject7"	1
"8"	"subject8"	5
"9"	"subject9"	1
"10"	"subject10"	1
"11"	"subject11"	3
"12"	"subject12"	2
"13"	"subject13"	5
"14"	"subject14"	1
"15"	"subject15"	4
"16"	"subject16"	4
"17"	"subject17"	5
"18"	"subject18"	3
"19"	"subject19"	1
"20"	"subject20"	2
"21"	"subject21"	2
"22"	"subject22"	3
"23"	"subject23"	1
"24"	"subject24"	4
"25"	"subject25"	5
"26"	"subject26"	2
"27"	"subject27"	3
"28"	"subject28"	1
"29"	"subject29"	2
"30"	"subject30"	2
"31"	"subject31"	4
"32"	"subject32"	3
"33"	"subject33"	1
"34"	"subject34"	4
"35"	"subject35"	4
"36"	"subject36"	2
"37"	"subject37"	1
"38"	"subject38"	5
"39"	"subject39"	4
"40"	"subject40"	5
"41"	"subject41"	1
"42"	"subject42"	3
"43"	"subject43"	3
"44"	"subject44"	3
"45"	"subject45"	2
"46"	"subject46"	3
"47"	"subject47"	2
"48"	"subject48"	2
"49"	"subject49"	5
"50"	"subject50"	1
"51"	"subject51"	1
"52"	"subject52"	4
"53"	"subject53"	1
"54"	"subject54"	5
"55"	"subject55"	1
"56"	"subject56"	4
"57"	"subject57"	3
"58"	"subject58"	4
"59"	"subject59"	1
"60"	"subject60"	2
"61"	"subject61"	1
"62"	"subject62"	2
"63"	"subject63"	4
"64"	"subject64"	3
"65"	"subject65"	2
"66"	"subject66"	4
"67"	"subject67"	5
"68"	"subject68"	4
"69"	"subject69"	3
"70"	"subject70"	2
"71"	"subject71"	2
"72"	"subject72"	5
"73"	"subject73"	1
"74"	"subject74"	2
"75"	"subject75"	4
"76"	"subject76"	3
"77"	"subject77"	3
"78"	"subject78"	1
"79"	"subject79"	2
"80"	"subject80"	4
"81"	"subject81"	5
"82"	"subject82"	3
"83"	"subject83"	3
"84"	"subject84"	3
"85"	"subject85"	3
"86"	"subject86"	3
"87"	"subject87"	1
"88"	"subject88"	5
"89"	"subject89"	1
"90"	"subject90"	3
"91"	"subject91"	2
"92"	"subject92"	4
"93"	"subject93"	4
"94"	"subject94"	4
"95"	"subject95"	5
"96"	"subject96"	3
"97"	"subject97"	3
"98"	"subject98"	4
"99"	"subject99"	1
"100"	"subject100"	2
"101"	"subject101"	4
"102"	"subject102"	1
"103"	"subject103"	1
"104"	"subject104"	4
"105"	"subject105"	4
"106"	"subject106"	2
"107"	"subject107"	2
"108"	"subject108"	1
"109"	"subject109"	4
"110"	"subject110"	1
"111"	"subject111"	2
"112"	"subject112"	3
"113"	"subject113"	4
"114"	"subject114"	1
"115"	"subject115"	5
"116"	"subject116"	4
"117"	"subject117"	1
"118"	"subject118"	4
"119"	"subject119"	1
"120"	"subject120"	3
"121"	"subject121"	4
"122"	"subject122"	1
"123"	"subject123"	3
"124"	"subject124"	1
"125"	"subject125"	3
"126"	"subject126"	4
"127"	"subject127"	5
